Rk 	Player 	Pos 	Age 	Tm 	G 	MP 	PER 	TS% 	3PAr 	FTr 	ORB% 	DRB% 	TRB% 	AST% 	STL% 	BLK% 	TOV% 	USG% 	  	OWS 	DWS 	WS 	WS/48 	  	OBPM 	DBPM 	BPM 	VORP
1	Precious Achiuwa	C	22	TOR	6	167	10.7	.541	.308	.192	5.4	17.1	10.7	5.7	0.3	3.3	13.8	18.2		0.0	0.0	0.0	-0.012		-2.4	-1.0	-3.3	-0.1
2	Steven Adams	C	28	MEM	3	31	2.6				6.8	11.4	9.0	15.5	0.0	0.0	100.0	1.3		0.0	0.0	0.1	.084		-5.3	0.2	-5.2	0.0
3	Bam Adebayo	C	24	MIA	5	157	14.7	.600	.000	.524	7.1	23.5	15.4	16.6	1.6	2.1	22.5	18.9		0.1	0.4	0.5	.141		-1.3	2.3	1.0	0.1
4	Nickeil Alexander-Walker	SG	23	UTA	1	5	65.6	1.025	.000	.500	0.0	23.1	11.6	60.8	10.6	0.0	0.0	22.9		0.1	0.0	0.1	.799		27.8	22.3	50.1	0.1
5	Grayson Allen	SG	26	MIL	5	120	19.8	.778	.600	.100	0.9	12.4	7.1	2.6	2.0	1.5	6.7	16.2		0.3	0.4	0.7	.276		3.8	3.8	7.6	0.3
6	Jose Alvarado	PG	23	NOP	6	117	13.1	.620	.485	.394	1.9	6.5	4.0	11.4	3.1	0.7	15.3	16.8		0.2	0.1	0.2	.091		-1.8	1.7	-0.1	0.1
7	Kyle Anderson	PF	28	MEM	6	117	13.9	.650	.100	.350	5.4	21.1	12.8	9.4	2.4	2.7	11.5	9.0		0.2	0.2	0.4	.175		-0.6	3.5	2.9	0.1
8	Giannis Antetokounmpo	PF	27	MIL	5	168	30.0	.625	.148	.682	6.5	31.4	20.0	33.7	0.3	3.7	13.6	34.2		0.6	0.6	1.1	.327		6.2	5.0	11.2	0.6
9	Thanasis Antetokounmpo	SF	29	MIL	3	13	12.1	.581	.000	.333	0.0	14.3	7.7	11.1	3.7	0.0	0.0	11.5		0.0	0.0	0.1	.222		-4.6	5.8	1.2	0.0
10	OG Anunoby	SF	24	TOR	6	217	14.9	.584	.500	.195	3.6	10.6	6.8	11.4	1.5	0.5	10.1	21.2		0.3	0.0	0.2	.052		1.2	-0.4	0.8	0.1
11	Deandre Ayton	C	23	PHO	6	210	26.0	.721	.050	.150	7.8	24.3	16.6	11.2	1.0	2.8	7.6	20.6		0.8	0.2	1.0	.229		4.8	1.5	6.4	0.4
12	Desmond Bane	SF	23	MEM	6	228	18.0	.666	.577	.206	0.9	12.4	6.3	9.2	1.0	3.2	9.4	20.8		0.5	0.3	0.9	.180		4.9	1.2	6.1	0.5
13	Dalano Banton	SF	22	TOR	4	8	46.2	.754	.000	3.000	28.1	0.0	15.4	23.4	6.6	0.0	17.7	32.7		0.1	0.0	0.1	.364		16.8	4.5	21.3	0.0
14	Scottie Barnes	PF	20	TOR	4	133	16.5	.520	.286	.381	5.9	29.6	16.6	19.7	1.6	0.8	9.3	18.9		0.2	0.1	0.2	.082		0.7	1.0	1.7	0.1
15	Will Barton	SG	31	DEN	5	172	9.7	.503	.424	.091	3.5	17.1	10.1	12.3	1.2	0.6	12.7	19.9		-0.1	0.0	-0.1	-0.025		-0.5	-2.3	-2.8	0.0
